epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.785,1.44161,3.44834,1.13951,0.80417,0.74107,0.79916,0.44568,1.33953,2.61876,1.19617,0.000662722,0.000662722,0.000662722
2,313.424,1.43907,2.38999,1.1469,0.92041,0.83036,0.89908,0.47254,1.4413,2.3702,1.28424,0.00119778,0.00119778,0.00119778
3,468.413,1.40778,1.93887,1.17999,0.91955,0.89286,0.94778,0.59045,1.21151,1.66969,1.14298,0.00160084,0.00160084,0.00160084
4,623.909,1.40028,1.57269,1.14866,0.9089,0.83929,0.92276,0.52609,1.35621,1.33364,1.16054,0.001406,0.001406,0.001406
5,780.292,1.27543,1.34249,1.09912,0.99495,0.86607,0.94802,0.61745,1.17281,1.115,1.115,0.001208,0.001208,0.001208
6,937.291,1.24402,1.18373,1.07839,0.98615,0.91964,0.97319,0.63105,1.16048,0.94785,1.11698,0.00101,0.00101,0.00101
7,1092.53,1.18897,1.05286,1.03351,0.97211,0.93347,0.97128,0.67232,1.07282,0.83754,1.07393,0.000812,0.000812,0.000812
8,1247.54,1.15532,0.96655,1.00397,0.99887,0.94643,0.97539,0.64565,1.10686,0.81475,1.09322,0.000614,0.000614,0.000614
9,1403.73,1.08156,0.88883,0.98211,0.99665,0.95536,0.97877,0.68392,1.01668,0.72711,1.01844,0.000416,0.000416,0.000416
10,1559.97,1.06051,0.83479,0.9727,0.98188,0.95536,0.97288,0.70088,0.93703,0.70745,0.99662,0.000218,0.000218,0.000218
