frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
61,2784,[924.7481689453125 653.493408203125 1148.0697021484375 835.9827270507812],[996.90234375 767.7000732421875 1076.9300537109375 794.5567016601562],0.6053867340087891,B90GSK,0.6901773286707263
62,2784,[925.2605590820312 653.3394165039062 1147.489990234375 832.9661865234375],[1000.9059448242188 766.2749633789062 1074.6494140625 792.3136596679688],0.5761597156524658,B90GSK,0.9049809734782658
63,2784,[926.0211791992188 653.104248046875 1148.5711669921875 832.6303100585938],[999.9100341796875 766.373291015625 1075.1458740234375 792.3848876953125],0.6310213208198547,B900GSK,0.8080431486908429
65,2784,[929.0370483398438 651.0071411132812 1148.2816162109375 829.1550903320312],[1003.027587890625 764.40185546875 1076.0146484375 787.3109130859375],0.7208395004272461,B906SKI,0.5020685600650177
66,2784,[929.9030151367188 649.8240966796875 1149.424560546875 827.1829833984375],[1003.790771484375 763.169677734375 1076.74609375 782.6011962890625],0.5598309636116028,B906SKI,0.38871407184683404
67,2784,[933.7199096679688 649.9011840820312 1149.5439453125 824.5004272460938],[1006.924072265625 762.4718627929688 1075.4879150390625 780.2647705078125],0.6195014119148254,B90GSK,0.949961828632749
68,2784,[937.2501220703125 648.7103271484375 1149.8594970703125 820.3154907226562],[1007.706298828125 759.5037231445312 1078.506103515625 777.8047485351562],0.5860554575920105,B900GSK,0.6740727110703754
69,2784,[938.3568115234375 647.39794921875 1148.874267578125 819.2274780273438],[1007.5541381835938 758.45947265625 1078.5009765625 776.6173095703125],0.6374313235282898,B90GSK,0.9139257782323414
70,2784,[940.7822875976562 646.665771484375 1148.9708251953125 818.7507934570312],[1008.2422485351562 758.0814208984375 1080.234375 777.19140625],0.5721038579940796,B90GSK,0.9662851479279978
71,2784,[942.1011962890625 646.6828002929688 1149.664794921875 817.450927734375],[1008.3883666992188 756.5709228515625 1081.90234375 776.4942626953125],0.6453440189361572,G00GSK,0.9123734920469673
73,2784,[943.9575805664062 647.41943359375 1149.0611572265625 814.5050048828125],[1011.08251953125 754.992919921875 1077.0447998046875 773.2944946289062],0.540431022644043,BB90GSK,0.20291425661566065
74,2784,[944.1394653320312 644.6100463867188 1149.10498046875 812.1783447265625],[1010.841796875 754.3778686523438 1080.4339599609375 773.5175170898438],0.24961180984973907,B906SKI,0.6693240921192457
75,2784,[946.561767578125 644.19384765625 1148.7349853515625 810.673095703125],[1011.9154052734375 750.3634643554688 1081.6968994140625 770.9419555664062],0.7864053845405579,B96SKI,0.7240876909324723
76,2784,[947.4807739257812 644.058349609375 1148.1964111328125 809.9912719726562],[1009.9139404296875 749.8883056640625 1080.6748046875 771.03076171875],0.7892541289329529,B900GSK,0.5629992587792804
77,2784,[948.6141357421875 644.7501831054688 1148.14892578125 809.41162109375],[1014.4764404296875 743.303955078125 1082.604248046875 766.848876953125],0.21744799613952637,B90GSK,0.7540890022513881
78,2784,[949.3492431640625 645.0097045898438 1148.461669921875 809.7863159179688],[1012.9198608398438 748.2387084960938 1079.218017578125 769.3617553710938],0.6226510405540466,I900GSK,0.6993346525101718
80,2784,[950.905517578125 642.2872314453125 1149.6951904296875 807.900390625],[1015.578369140625 742.6722412109375 1084.62890625 763.69873046875],0.2361053228378296,B906SKI,0.4619231816993335
81,2784,[952.051513671875 642.24267578125 1149.5333251953125 805.517578125],[1020.2801513671875 742.2405395507812 1085.285888671875 762.0422973632812],0.1829352229833603,B906SKI,0.6810385228119228
83,2784,[955.8502807617188 641.78076171875 1147.827392578125 800.5150756835938],[1020.5526123046875 742.3500366210938 1083.2237548828125 760.6755981445312],0.38679659366607666,I900GSK,0.41878757154668456
86,2784,[961.466064453125 640.5892333984375 1147.3509521484375 793.9507446289062],[1023.459228515625 740.4927978515625 1082.1947021484375 756.703857421875],0.5906664133071899,BI90GSK,0.28626940704959186
87,2784,[962.0636596679688 640.364013671875 1146.6103515625 791.142578125],[1019.6654663085938 739.3511962890625 1082.532470703125 755.3751220703125],0.6226931214332581,B19GSK,0.6535898959529539
88,2784,[963.6607666015625 640.8619384765625 1147.3848876953125 790.9423217773438],[1021.2039184570312 737.2822265625 1082.351318359375 753.768310546875],0.6850647330284119,B900GSK,0.33601835224001775
89,2784,[964.30224609375 641.159423828125 1147.7330322265625 790.07275390625],[1021.1940307617188 737.1112060546875 1082.778564453125 752.559814453125],0.672727644443512,I900GSK,0.6365521061447137
91,2784,[966.42578125 640.4445190429688 1147.662109375 787.75830078125],[1030.4345703125 738.7635498046875 1082.782958984375 752.2540283203125],0.3125731348991394,B900GSK,0.5086901690338681
93,2784,[968.99267578125 640.5751953125 1147.5760498046875 785.4496459960938],[1024.642822265625 737.6138305664062 1079.89892578125 751.8619995117188],0.18260225653648376,B900GSK,0.6794470482349282
94,2784,[969.8380737304688 641.7357788085938 1147.5087890625 784.754638671875],[1026.19580078125 737.46435546875 1080.286865234375 751.551513671875],0.1507899910211563,O900GSK,0.40118373860886125
95,2797,[1386.489501953125 618.5693359375 1597.760009765625 774.3590087890625],[1530.40478515625 711.9200439453125 1590.9437255859375 728.9467163085938],0.25519055128097534,G772WNE,0.2975880164370573
96,2784,[972.8088989257812 643.5865478515625 1147.7608642578125 782.9652709960938],[1032.08642578125 736.5104370117188 1082.597900390625 749.9624633789062],0.4237939417362213,I09GSK,0.03776407575313676
97,2784,[973.8012084960938 644.8623046875 1147.7752685546875 783.2982788085938],[1031.81884765625 736.34326171875 1082.67138671875 751.169677734375],0.3543466329574585,B19GSK,0.7611891498882003
100,2784,[975.4993896484375 644.9833374023438 1145.509521484375 781.5377197265625],[1031.7333984375 735.3184204101562 1081.9991455078125 749.7467651367188],0.217779740691185,C00GSI,0.10323504181399823
102,2784,[975.1669921875 645.0088500976562 1144.2303466796875 780.0969848632812],[1031.095703125 734.47802734375 1083.9493408203125 749.65087890625],0.2840256989002228,O900GSE,0.3150688151115415
105,2797,[1427.79638671875 613.6964721679688 1737.0966796875 791.9320678710938],[1599.6287841796875 715.139892578125 1675.7208251953125 738.3118896484375],0.7355505228042603,B27AKL,0.048551038905027835
107,2784,[978.477294921875 645.0584716796875 1142.9727783203125 778.6011962890625],[1031.9267578125 733.25341796875 1081.791259765625 748.1309814453125],0.21929946541786194,D00GSI,0.21456702165113833
109,2784,[982.6571655273438 644.8323364257812 1143.735595703125 776.9602661132812],[1031.026123046875 732.8194580078125 1081.6002197265625 746.9434814453125],0.22978846728801727,M00GSE,0.18072141094009306
114,2797,[1487.6517333984375 604.9070434570312 1844.3836669921875 809.1591796875],[1688.6099853515625 725.3291015625 1782.1966552734375 752.0286254882812],0.6802487373352051,G772ANA,0.30427904899676883
115,2797,[1492.9835205078125 603.31103515625 1857.082275390625 810.8997802734375],[1700.9659423828125 726.1559448242188 1792.2308349609375 752.7989501953125],0.6612826585769653,E77JAA,0.12552501573141892
116,2797,[1495.3818359375 602.7945556640625 1876.8677978515625 814.9086303710938],[1715.428466796875 727.2716064453125 1814.39990234375 753.5846557617188],0.690172553062439,E774GNA,0.23446241716186353
116,2784,[986.4237060546875 644.6138916015625 1144.5123291015625 771.8605346679688],[1042.61962890625 729.4390869140625 1096.833740234375 746.077880859375],0.14947426319122314,D02JSK,0.36998071319632364
210,2919,[501.6859130859375 648.277587890625 675.3814086914062 821.3395385742188],[572.3429565429688 716.4921875 621.3909912109375 735.1910400390625],0.2936914265155792,O78QKI,0.30807929331090156
212,2917,[632.8248901367188 633.3638305664062 1023.5809326171875 854.8319091796875],[691.096923828125 763.2595825195312 773.8638916015625 791.2633666992188],0.6618623733520508,IF12DLM,0.9951804318865471
212,2919,[494.1797180175781 645.78515625 674.0413818359375 822.986083984375],[558.6744384765625 719.0289306640625 624.1416625976562 744.50927734375],0.10504660755395889,OI78IKN,0.5151265045770231
213,2917,[634.9403686523438 631.5993041992188 1026.9212646484375 855.8818969726562],[697.1991577148438 764.318115234375 776.38037109375 791.7744140625],0.6719211339950562,IF12DLM,0.6973577068203742
213,2919,[491.64849853515625 644.1204223632812 671.74462890625 823.3743896484375],[554.1151123046875 716.2110595703125 620.8895874023438 738.79150390625],0.6227012872695923,I75MKN,0.8425581187855994
214,2917,[639.6272583007812 631.9776000976562 1028.9129638671875 855.1414794921875],[700.950927734375 762.5745849609375 784.774169921875 792.18603515625],0.7938466668128967,IF12DLM,0.8408240209474611
215,2917,[641.4324340820312 629.4443969726562 1031.515380859375 855.4299926757812],[705.4232177734375 761.9906616210938 787.056396484375 791.1256713867188],0.7566073536872864,IF12DLM,0.76566295938649
216,2917,[643.8826293945312 627.2573852539062 1033.244140625 855.5905151367188],[707.203125 762.4674072265625 791.543212890625 790.5013427734375],0.753566563129425,IF12DLM,0.9622809964600801
217,2917,[647.8350830078125 626.0759887695312 1038.064697265625 855.3263549804688],[707.5420532226562 761.455810546875 794.0432739257812 792.1929931640625],0.77415531873703,IF12DLM,0.9337542361567891
217,2919,[474.5247497558594 642.897705078125 685.0193481445312 827.7745971679688],[541.9859619140625 715.15380859375 613.7726440429688 736.2760620117188],0.5718494057655334,B18LKN,0.250512517695126
218,2917,[650.3856811523438 624.7485961914062 1040.948486328125 855.7449951171875],[719.2688598632812 760.8041381835938 802.4263916015625 789.1752319335938],0.6951163411140442,IF12DLM,0.8884595628144627
218,2919,[467.40252685546875 641.2994995117188 686.3778686523438 830.1365356445312],[533.4227294921875 715.8309326171875 603.551513671875 735.4989013671875],0.5528358221054077,I78MKN,0.8318180229265529
219,2917,[653.6228637695312 623.2875366210938 1042.2816162109375 855.6570434570312],[721.3275146484375 760.3851928710938 808.168701171875 790.3269653320312],0.7750481367111206,IF12DLM,0.6552127566219664
220,2919,[458.0881652832031 638.7359008789062 695.326416015625 831.7139282226562],[531.8016967773438 718.246337890625 603.1990966796875 744.6410522460938],0.15491820871829987,BI78KKN,0.8315054097788808
220,2917,[656.578369140625 620.4795532226562 1047.6483154296875 855.6019287109375],[723.999755859375 763.4326171875 811.7492065429688 788.3164672851562],0.610227108001709,IF12DLM,0.7591986193348067
221,2917,[665.9856567382812 619.6678466796875 1051.2742919921875 855.8381958007812],[731.3378295898438 761.340087890625 817.6083984375 790.3853759765625],0.7514728903770447,IF12DLM,0.7181518127718467
222,2917,[668.3406982421875 619.8075561523438 1053.7535400390625 855.22998046875],[731.8550415039062 761.382568359375 818.429443359375 790.68896484375],0.8009967803955078,IF12DLM,0.7140478879176478
223,2917,[671.0230102539062 619.1243286132812 1054.28125 854.3582153320312],[737.9327392578125 759.2564697265625 824.8402099609375 788.6083984375],0.7968378067016602,IF12DLM,0.9010083887209175
224,2917,[673.7404174804688 619.260009765625 1055.95263671875 855.92041015625],[744.732177734375 759.76513671875 831.53662109375 787.40576171875],0.7836472392082214,IF12DLM,0.7964281432553665
225,2917,[675.5206909179688 620.556640625 1056.421142578125 856.5850830078125],[745.9483642578125 760.10693359375 834.6326293945312 789.3155517578125],0.7444257736206055,IF12DLM,0.8944257509358667
225,2919,[432.4625244140625 633.6759033203125 692.6719970703125 838.6513671875],[507.2900390625 715.58203125 579.2440795898438 733.88525390625],0.4675306975841522,I78HKN,0.7043833859755422
226,2917,[678.3446044921875 619.8602294921875 1056.6168212890625 858.1179809570312],[749.5050048828125 761.6572265625 838.99609375 790.0517578125],0.7197471261024475,IF12DLM,0.899212764723399
226,2919,[427.55517578125 633.8717041015625 691.4627685546875 840.9529418945312],[498.3525695800781 718.5441284179688 573.3121337890625 744.681396484375],0.10745704919099808,B18EKN,0.20163999462573615
227,2917,[683.1912231445312 619.097412109375 1056.4041748046875 858.4518432617188],[755.0689086914062 763.3271484375 846.1241455078125 789.9027099609375],0.7358129620552063,IF12DLM,0.9413403975184548
228,2917,[686.0901489257812 618.6931762695312 1056.6431884765625 858.468017578125],[756.03515625 762.3658447265625 851.9307861328125 789.91845703125],0.7129276990890503,IF12DLM,0.9642442016167447
228,2919,[411.1544494628906 632.9315795898438 695.8828735351562 844.6143798828125],[497.4905090332031 716.4417114257812 570.8101806640625 737.9376220703125],0.14538411796092987,BN78HKN,0.2065705101136773
229,2917,[687.0838012695312 618.9446411132812 1057.8922119140625 862.263916015625],[758.4241333007812 760.8489990234375 850.9771728515625 791.0548095703125],0.7524620294570923,IF12DLM,0.826789491748498
229,2919,[404.3611755371094 633.3565063476562 694.2015991210938 846.6384887695312],[474.3674011230469 722.2857666015625 561.5850830078125 745.60595703125],0.3136063516139984,B78HKN,0.6050843567362744
230,2917,[689.0516357421875 618.8214111328125 1057.6134033203125 865.1815185546875],[761.7689208984375 761.521728515625 859.4122924804688 792.8792724609375],0.7767309546470642,IF12DLM,0.9899015725292049
230,2919,[394.22601318359375 632.783447265625 698.190185546875 850.5889892578125],[473.26055908203125 717.3092041015625 554.384521484375 743.86474609375],0.5376342535018921,BY78UKN,0.10543609560932163
