frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
9,2,[843.97998046875 1424.638916015625 1537.8758544921875 2065.891357421875],[1052.9354248046875 1856.343017578125 1305.0228271484375 1928.1976318359375],0.27198687195777893,NA13NRU,0.9385683235934941
10,4,[2333.926025390625 1203.3734130859375 2939.731201171875 1802.26708984375],[2546.88916015625 1620.8101806640625 2720.532958984375 1687.354736328125],0.30554908514022827,MM51VSU,0.704356487331347
10,2,[838.3870239257812 1428.5460205078125 1537.242919921875 2070.645263671875],[1049.400634765625 1860.3873291015625 1303.7449951171875 1937.2626953125],0.2553028464317322,NA13NRU,0.9495933144540584
11,4,[2333.581787109375 1208.8187255859375 2939.797607421875 1808.423583984375],[2544.905029296875 1626.4188232421875 2729.72216796875 1699.3968505859375],0.2893172800540924,ND51VSU,0.5255832578736266
11,2,[831.0665283203125 1440.889892578125 1532.326171875 2079.985107421875],[1056.8975830078125 1871.173095703125 1295.39111328125 1946.130859375],0.2709693908691406,NA13NRU,0.9812574656644025
12,2,[825.1282958984375 1447.638671875 1530.590087890625 2090.36083984375],[1052.2816162109375 1877.767578125 1298.641845703125 1960.1864013671875],0.22673875093460083,NA13NRU,0.8480379453983212
12,4,[2329.306396484375 1211.8590087890625 2942.658203125 1814.0714111328125],[2547.390625 1635.5848388671875 2726.390625 1703.868408203125],0.16484180092811584,MM51VSU,0.7397241495542877
13,2,[823.1348266601562 1450.053955078125 1529.6971435546875 2093.794921875],[1053.0072021484375 1886.8125 1298.3763427734375 1966.266845703125],0.2117682546377182,NA13NRU,0.9328988184447717
13,4,[2328.439697265625 1213.685302734375 2942.16845703125 1819.0780029296875],[2546.298095703125 1640.1949462890625 2726.456787109375 1709.1824951171875],0.1468597799539566,MO51VSU,0.52960939921121
14,2,[818.0517578125 1460.02880859375 1528.0321044921875 2099.52880859375],[1049.8660888671875 1892.12890625 1287.3468017578125 1972.44921875],0.3692375719547272,NA13NRU,0.6777253382197471
14,4,[2330.095458984375 1217.870849609375 2943.07470703125 1825.5965576171875],[2551.481201171875 1651.225830078125 2729.06640625 1712.2847900390625],0.2354319989681244,MI51VSU,0.38465617610351427
15,2,[813.6505737304688 1465.7972412109375 1521.9449462890625 2107.347900390625],[1043.038330078125 1907.4287109375 1278.1668701171875 1974.7401123046875],0.3621772825717926,NA13NRU,0.6306845313204175
15,4,[2333.65771484375 1220.177001953125 2948.202880859375 1834.2939453125],[2551.85009765625 1656.1500244140625 2730.263427734375 1719.1961669921875],0.22114424407482147,MV51VSU,0.0688509453525863
