frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
96,1585,[2181.071044921875 1088.685302734375 2671.703125 1515.7305908203125],[2356.350341796875 1376.9593505859375 2517.005859375 1426.5804443359375],0.20025694370269775,A20SJO,0.19320513538297596
97,1585,[2180.669677734375 1091.123046875 2673.27734375 1520.238525390625],[2343.409912109375 1374.8162841796875 2538.070068359375 1430.8275146484375],0.24873612821102142,I05JEO,0.07982746555725444
98,1585,[2181.286865234375 1091.783935546875 2678.266357421875 1526.95361328125],[2352.899658203125 1384.2457275390625 2511.64111328125 1434.9696044921875],0.1022927537560463,A05JEO,0.1434396659454945
99,1585,[2180.882568359375 1093.0626220703125 2681.472900390625 1533.327392578125],[2346.44580078125 1376.9935302734375 2539.85205078125 1444.5257568359375],0.20322830975055695,AP05JEO,0.1814136351572347
100,1585,[2179.989664713542 1095.9233601888022 2682.5725911458335 1537.450724283854],[2348.168904622396 1381.5579020182292 2534.4715169270835 1447.2312418619792],0,0,0
101,1585,[2179.096761067708 1098.7840983072915 2683.6722819010415 1541.5740559895833],[2349.8920084635415 1386.1222737630208 2529.0909830729165 1449.9367268880208],0,0,0
102,1585,[2178.203857421875 1101.6448364257812 2684.77197265625 1545.6973876953125],[2351.6151123046875 1390.6866455078125 2523.71044921875 1452.6422119140625],0,0,0
103,1585,[2177.3109537760415 1104.5055745442708 2685.871663411458 1549.8207194010415],[2353.338216145833 1395.251017252604 2518.329915364583 1455.347696940104],0,0,0
104,1585,[2176.4180501302085 1107.3663126627605 2686.9713541666665 1553.944051106771],[2355.0613199869795 1399.8153889973958 2512.949381510417 1458.0531819661458],0,0,0
105,1585,[2175.525146484375 1110.22705078125 2688.071044921875 1558.0673828125],[2356.784423828125 1404.3797607421875 2507.56884765625 1460.7586669921875],0.1432703733444214,AP05WEO,0.16155014637440576
106,1585,[2176.343017578125 1111.697509765625 2686.653076171875 1560.874267578125],[2352.623779296875 1404.9586181640625 2544.288818359375 1466.0360107421875],0.36435455083847046,AP05DEO,0.15956653075685803
107,1585,[2176.206298828125 1117.82666015625 2689.11474609375 1565.3519287109375],[2350.687744140625 1405.8177490234375 2533.8388671875 1468.1927490234375],0.1534450203180313,AP05JEO,0.6896734442904425
108,1585,[2176.759765625 1119.8338623046875 2690.1273193359375 1570.0343017578125],[2353.2393798828125 1415.4996337890625 2538.2196044921875 1476.9263916015625],0,0,0
109,1585,[2177.313232421875 1121.841064453125 2691.139892578125 1574.7166748046875],[2355.791015625 1425.1815185546875 2542.600341796875 1485.6600341796875],0.10623136162757874,AP05JEO,0.3547763111803292
110,1585,[2177.1671549479165 1127.1993001302083 2694.893880208333 1578.069620768229],[2355.340901692708 1428.106974283854 2543.3627115885415 1487.9652913411458],0,0,0
111,1585,[2177.021077473958 1132.5575358072915 2698.6478678385415 1581.4225667317705],[2354.8907877604165 1431.0324300130208 2544.125081380208 1490.270548502604],0,0,0
112,1585,[2176.875 1137.915771484375 2702.40185546875 1584.7755126953125],[2354.440673828125 1433.9578857421875 2544.887451171875 1492.5758056640625],0.3492315113544464,AP05JEO,0.5658010862248499
113,1585,[2180.005859375 1140.607177734375 2703.177490234375 1589.44140625],[2359.752685546875 1436.501953125 2549.14501953125 1505.5472412109375],0.40793630480766296,AP05JEO,0.5018323758658022
114,1585,[2178.373860677083 1142.479044596354 2703.552815755208 1594.830403645833],[2364.593994140625 1443.2033284505208 2544.8490397135415 1506.6986083984375],0,0,0
115,1585,[2176.7418619791665 1144.3509114583333 2703.9281412760415 1600.2194010416665],[2369.435302734375 1449.9047037760415 2540.553059895833 1507.8499755859375],0,0,0
116,1585,[2175.10986328125 1146.2227783203125 2704.303466796875 1605.6083984375],[2374.276611328125 1456.6060791015625 2536.257080078125 1509.0013427734375],0.13121762871742249,AP05JEO,0.5875965612873124
117,1585,[2172.592041015625 1148.6024169921875 2710.782958984375 1609.838623046875],[2369.49853515625 1458.38427734375 2530.03369140625 1511.58447265625],0.21295274794101715,AP05JEO,0.6646304289175448
118,1585,[2176.992431640625 1150.7587890625 2709.965087890625 1613.7000732421875],[2373.206787109375 1459.805908203125 2515.97705078125 1513.518798828125],0.19055061042308807,AP05JBO,0.3532920788418606
119,1585,[2179.43408203125 1159.0587158203125 2708.655517578125 1614.4031982421875],[2370.321044921875 1457.6844482421875 2541.08837890625 1521.81298828125],0.1647193431854248,AP05JEQ,0.6398429643886441
120,1585,[2171.607421875 1163.720458984375 2707.856689453125 1617.7646484375],[2370.3935546875 1480.068603515625 2537.850341796875 1529.7537841796875],0.3379640281200409,AP05JEO,0.45115805739948495
121,1585,[2172.515869140625 1169.474365234375 2708.517333984375 1621.914306640625],[2368.029052734375 1474.8656005859375 2545.640625 1533.5537109375],0.40284672379493713,AP05JEQ,0.7657112723347365
122,1585,[2170.02490234375 1169.850341796875 2711.46630859375 1625.6072998046875],[2369.559326171875 1470.4658203125 2537.389892578125 1534.3424072265625],0.316784530878067,AP05JEQ,0.8718579857785657
123,1585,[2169.846923828125 1173.166259765625 2714.668212890625 1631.629638671875],[2365.240234375 1486.0482177734375 2546.71923828125 1539.5777587890625],0.4521377384662628,AP05JEQ,0.610864834201915
124,1585,[2175.373046875 1173.2164306640625 2715.79638671875 1636.73388671875],[2360.544189453125 1488.132568359375 2527.060546875 1542.5245361328125],0.28620585799217224,AP05JEO,0.5987606082791127
125,1585,[2176.9306640625 1179.264892578125 2716.9931640625 1644.0194091796875],[2368.322021484375 1498.1640625 2548.59619140625 1555.1610107421875],0.1308508664369583,AP05JEO,0.7247130917317318
126,1585,[2179.78125 1184.811767578125 2722.322021484375 1652.035400390625],[2372.2177734375 1504.266845703125 2551.492431640625 1557.595703125],0.32921406626701355,AP05JEO,0.8451851631240717
127,1585,[2185.921875 1188.3548583984375 2727.554931640625 1658.2618408203125],[2372.256591796875 1505.333984375 2548.828857421875 1559.502197265625],0.36696913838386536,AP05JEO,0.6505120896087105
128,1585,[2178.104248046875 1193.2449951171875 2726.8310546875 1663.916015625],[2372.11572265625 1508.783203125 2527.625732421875 1559.2410888671875],0.16517607867717743,AP05JEO,0.6353276359733183
129,1585,[2177.705078125 1192.8709716796875 2725.266357421875 1669.352294921875],[2372.022216796875 1510.0589599609375 2531.341796875 1563.323486328125],0.3578050434589386,AP05JEO,0.7034446811351744
130,1585,[2181.86181640625 1198.8455810546875 2728.68017578125 1673.4495849609375],[2375.036865234375 1510.2420654296875 2560.359130859375 1569.8331298828125],0.33777937293052673,AP05JEO,0.5390189319016478
131,1585,[2180.03369140625 1201.6673583984375 2733.5400390625 1678.183837890625],[2373.311767578125 1518.5604248046875 2561.169677734375 1579.6322021484375],0.4685133695602417,AP05JEO,0.7390863603508229
132,1585,[2183.343505859375 1206.643798828125 2736.878662109375 1683.783935546875],[2375.081298828125 1525.9127197265625 2567.835205078125 1583.9547119140625],0.1543734073638916,AP05JJE,0.7326373725180814
133,1585,[2185.59375 1207.59765625 2737.164306640625 1687.7332763671875],[2378.921630859375 1523.1976318359375 2563.978515625 1583.4066162109375],0.3363788425922394,AP05JEO,0.8037554760199701
134,1585,[2177.26611328125 1211.9591064453125 2737.218017578125 1694.2646484375],[2378.319580078125 1534.1822509765625 2563.92822265625 1592.5032958984375],0.1774575114250183,AP05JEO,0.6195251977093058
135,1585,[2176.3154296875 1217.8409423828125 2737.811767578125 1699.959228515625],[2377.58837890625 1537.8935546875 2577.75634765625 1602.0025634765625],0.15308530628681183,AP05JEO,0.9035608745894405
136,1585,[2173.93994140625 1220.155517578125 2739.911376953125 1704.9881591796875],[2378.836669921875 1538.2874755859375 2576.396240234375 1605.7230224609375],0.546783983707428,AP05JEO,0.825029608567191
137,1585,[2177.398681640625 1223.7872314453125 2741.94482421875 1710.239013671875],[2379.633544921875 1539.818359375 2587.80712890625 1607.6402587890625],0.5858192443847656,RP05JEO,0.5553842887377242
138,1585,[2183.38671875 1225.3157958984375 2744.45458984375 1714.972900390625],[2401.134521484375 1554.8983154296875 2587.5634765625 1612.8310546875],0.18341808021068573,AP05JEO,0.8198485429032775
139,1585,[2185.53515625 1228.201171875 2744.259765625 1718.195068359375],[2382.694091796875 1553.5853271484375 2580.05126953125 1614.4945068359375],0.2798742353916168,AP05JEO,0.6979242004327295
140,1585,[2178.158447265625 1235.898681640625 2748.566650390625 1721.2333984375],[2380.734130859375 1556.623291015625 2582.095703125 1617.0009765625],0.27571675181388855,AP05JEO,0.6521651921953717
141,1585,[2179.4599609375 1242.8328857421875 2749.31884765625 1725.2064208984375],[2379.353271484375 1559.0419921875 2575.40625 1621.5767822265625],0.3203479051589966,AP05JEO,0.7138634247138627
142,1585,[2182.111572265625 1248.1083984375 2751.72802734375 1729.0841064453125],[2383.818115234375 1567.7125244140625 2572.737548828125 1625.3719482421875],0.4466909170150757,AP05JEO,0.579606970215124
143,1585,[2187.855712890625 1248.4635009765625 2754.51708984375 1738.314697265625],[2384.015869140625 1560.3359375 2575.84326171875 1624.8358154296875],0.1072683185338974,AP05JEO,0.7149760991578938
144,1585,[2191.807373046875 1249.4652099609375 2757.601318359375 1745.5174560546875],[2388.619140625 1577.7821044921875 2582.56689453125 1636.435546875],0.6263390779495239,AP05JEO,0.9321543201628552
145,1585,[2188.664794921875 1250.50341796875 2757.45849609375 1748.0311279296875],[2387.410888671875 1580.532958984375 2577.08056640625 1639.8609619140625],0.49022725224494934,AP05JEO,0.7298104083223453
146,1585,[2182.020263671875 1254.195068359375 2760.149658203125 1755.89794921875],[2393.866943359375 1588.4881591796875 2588.950927734375 1647.5872802734375],0.2875669002532959,AP05JEO,0.581659492239686
147,1585,[2179.391357421875 1260.2763061523438 2763.171875 1763.0814819335938],[2396.9405517578125 1595.5448608398438 2591.087158203125 1653.1221923828125],0,0,0
148,1585,[2176.762451171875 1266.3575439453125 2766.194091796875 1770.2650146484375],[2400.01416015625 1602.6015625 2593.223388671875 1658.6571044921875],0.5298370718955994,AP05JEO,0.6328740938986733
149,1585,[2175.467529296875 1271.42822265625 2769.568359375 1776.5146484375],[2397.523193359375 1607.387939453125 2580.31103515625 1662.473876953125],0.27904263138771057,AP05JEO,0.6705947975318824
150,1585,[2176.552490234375 1274.18701171875 2775.918212890625 1784.2808837890625],[2392.942626953125 1609.5960693359375 2553.401123046875 1663.698486328125],0.10110145062208176,W05IVE,0.030744294679454155
151,1585,[2179.072021484375 1277.013916015625 2778.451416015625 1790.9947509765625],[2397.864013671875 1618.6995849609375 2580.540771484375 1675.1395263671875],0.1444960981607437,AP05JEO,0.6926928139528887
152,1585,[2181.58154296875 1283.2904052734375 2777.73974609375 1798.2841796875],[2373.137939453125 1614.2132568359375 2607.40673828125 1713.5164794921875],0.16566164791584015,AP05JEO,0.6315626573547434
153,1585,[2186.1953125 1290.6827392578125 2782.02490234375 1808.218017578125],[2316.084716796875 1616.5516357421875 2619.919677734375 1715.1038818359375],0.11677055805921555,AP05JEO,0.5860696581529998
154,1585,[2178.58056640625 1293.417236328125 2782.326904296875 1810.721923828125],[2409.550537109375 1637.8138427734375 2589.679443359375 1688.4290771484375],0.5243943333625793,AP05UEO,0.45952252610288913
155,1585,[2189.05859375 1295.85888671875 2784.215576171875 1814.4892578125],[2407.988037109375 1637.0623779296875 2597.112060546875 1693.5205078125],0.4511945843696594,AP05JEO,0.5570181515149535
156,1585,[2173.247314453125 1296.4930419921875 2784.93603515625 1819.6956787109375],[2408.65869140625 1646.91796875 2597.421630859375 1703.1546630859375],0.539039134979248,AP05JEO,0.5755214149304294
157,1585,[2178.219482421875 1298.92626953125 2790.075439453125 1826.6859130859375],[2405.770263671875 1650.4156494140625 2603.70703125 1710.4359130859375],0.6286681294441223,AR05UEO,0.3778619823390015
158,1585,[2175.921630859375 1305.3514404296875 2794.330078125 1836.2320556640625],[2414.023193359375 1655.221923828125 2609.98974609375 1714.9609375],0.4608376920223236,AP05JEO,0.6854006378563774
159,1585,[2171.391357421875 1309.9271240234375 2800.4736328125 1842.250244140625],[2417.914794921875 1659.3870849609375 2605.684814453125 1718.165283203125],0.2947356700897217,AP05JEO,0.6316029001379614
160,1585,[2172.02197265625 1315.782958984375 2809.816650390625 1846.1439208984375],[2420.333740234375 1661.6988525390625 2609.484375 1718.7855224609375],0.26005256175994873,AP05JEO,0.6482015676186053
161,1585,[2172.742919921875 1320.8804931640625 2813.25048828125 1850.8074951171875],[2417.984375 1672.5543212890625 2613.013671875 1732.6949462890625],0.5822194218635559,AP05JEO,0.7383054763098115
162,1585,[2175.27001953125 1325.9766845703125 2809.030517578125 1854.287841796875],[2422.128662109375 1673.9891357421875 2624.36767578125 1739.470703125],0.6530081629753113,AP05JEO,0.9187295267549702
163,1585,[2177.0615234375 1327.740478515625 2812.404541015625 1857.6282958984375],[2420.625 1679.4437255859375 2617.58837890625 1742.288330078125],0.6710770726203918,AP05JEO,0.9037499607423704
164,1585,[2181.682861328125 1334.5338134765625 2817.13818359375 1866.044677734375],[2415.879638671875 1693.962890625 2613.414794921875 1751.291015625],0.27249976992607117,AP05JEO,0.5799448908609858
165,1585,[2185.29541015625 1342.1309814453125 2821.53271484375 1873.87646484375],[2413.928466796875 1698.5875244140625 2637.719482421875 1764.069580078125],0.6581310629844666,AP05JEO,0.6795388051033728
166,1585,[2179.255859375 1346.449951171875 2829.117431640625 1877.82470703125],[2422.608642578125 1701.3377685546875 2638.452392578125 1767.9798583984375],0.6230704188346863,AP05JEO,0.69789135767724
167,1585,[2175.775634765625 1349.5208740234375 2830.0302734375 1883.4432373046875],[2421.662841796875 1709.9248046875 2614.03759765625 1768.3837890625],0.30085840821266174,AP05JEO,0.4244663455486243
168,1585,[2178.91796875 1355.9193522135415 2833.0919596354165 1891.9579264322915],[2421.6136881510415 1712.445597330729 2621.146321614583 1780.7169189453123],0,0,0
169,1585,[2182.060302734375 1362.3178304036458 2836.153645833333 1900.4726155598958],[2421.564534505208 1714.9663899739583 2628.2550455729165 1793.0500488281248],0,0,0
170,1585,[2185.20263671875 1368.71630859375 2839.21533203125 1908.9873046875],[2421.515380859375 1717.4871826171875 2635.36376953125 1805.3831787109375],0.17460495233535767,AP05JEO,0.830302194743814
171,1585,[2185.537841796875 1374.1641845703125 2840.3818359375 1918.6146240234375],[2429.003662109375 1741.1171875 2628.087890625 1796.2840576171875],0.5803917646408081,OR45AGD,0.1299333245718734
172,1585,[2185.10205078125 1377.9517822265625 2837.275390625 1925.6219482421875],[2430.36572265625 1742.7261962890625 2628.387451171875 1800.856689453125],0.5361849665641785,AP05JEO,0.5566710361826108
173,1585,[2187.188720703125 1382.8291015625 2837.92529296875 1933.5283203125],[2430.07568359375 1749.187744140625 2641.099365234375 1811.8580322265625],0.6682828664779663,AP05JEQ,0.5211348400012729
174,1585,[2188.264892578125 1389.701416015625 2842.603271484375 1940.7288818359375],[2433.4638671875 1754.3974609375 2648.645263671875 1819.0263671875],0.5665376782417297,AP05JEQ,0.6174030305835038
175,1585,[2179.21142578125 1393.7005615234375 2840.44189453125 1943.37744140625],[2428.978271484375 1758.4586181640625 2645.08056640625 1821.960205078125],0.4313531816005707,AP05JEQ,0.5566678515645227
176,1585,[2177.834228515625 1400.0570068359375 2842.3271484375 1949.2520751953125],[2431.290771484375 1764.2596435546875 2634.7109375 1824.681884765625],0.2418351173400879,AP05JEO,0.5325085862810777
177,1585,[2179.32373046875 1405.630859375 2845.04248046875 1955.015625],[2435.14404296875 1770.441650390625 2648.71630859375 1836.6314697265625],0.6075790524482727,AP05JEO,0.8957080067583874
178,1585,[2180.63818359375 1408.028076171875 2849.50244140625 1959.233154296875],[2435.97119140625 1776.3802490234375 2652.67578125 1840.3782958984375],0.585111677646637,AP05JEO,0.5620109436340431
179,1585,[2196.37353515625 1417.647216796875 2852.6201171875 1970.2049560546875],[2440.336669921875 1790.4185791015625 2644.1328125 1845.4400634765625],0.488741397857666,AP05JEO,0.883666728241682
180,1585,[2214.4970703125 1426.3236083984375 2853.105712890625 1979.6563720703125],[2445.863037109375 1801.7664794921875 2647.881591796875 1858.0093994140625],0.49058452248573303,P05JEO,0.49379600747550273
181,1585,[2218.416015625 1429.2313232421875 2858.34912109375 1986.717529296875],[2450.50830078125 1802.5687255859375 2660.185546875 1863.7952880859375],0.4537014663219452,P05JEO,0.4036388489550995
182,1585,[2219.2412109375 1432.9888916015625 2862.03173828125 1995.2325439453125],[2451.37939453125 1806.8289794921875 2666.349609375 1868.81640625],0.5345836877822876,AP05JEO,0.7010153112070269
183,1585,[2217.126220703125 1440.1298828125 2863.8935546875 2003.8748779296875],[2443.826171875 1813.9495849609375 2663.013671875 1875.774658203125],0.16042016446590424,AP05JEO,0.749060942426157
184,1585,[2224.8818359375 1444.5736083984375 2863.9609375 2008.0272216796875],[2449.190673828125 1821.0843505859375 2659.793701171875 1882.2249755859375],0.29125452041625977,AP05JEO,0.9714047480885163
185,1585,[2222.580322265625 1451.1424560546875 2873.855712890625 2018.4752197265625],[2442.30322265625 1822.95703125 2681.206787109375 1899.5570068359375],0.45612218976020813,AP05JEO,0.8096875582230496
186,1585,[2222.57421875 1455.578857421875 2881.13427734375 2029.029296875],[2451.264404296875 1828.3779296875 2677.719970703125 1901.9931640625],0.35195866227149963,AP05JEO,0.5189483014353863
187,1585,[2227.43505859375 1458.769287109375 2886.980712890625 2036.9781494140625],[2456.821044921875 1841.9969482421875 2674.964111328125 1909.745361328125],0.3547755479812622,AP05JEO,0.5628849994360936
188,1585,[2222.395751953125 1467.4814453125 2889.404296875 2046.0528564453125],[2461.131591796875 1845.1060791015625 2693.813232421875 1921.8748779296875],0.4581301808357239,AP05JEO,0.9896288399907096
189,1585,[2220.8759765625 1473.8021240234375 2899.321044921875 2052.60546875],[2458.342529296875 1855.026611328125 2691.940185546875 1923.8485107421875],0.3819820284843445,AP05JEO,0.904931612394872
190,1585,[2225.887451171875 1474.76953125 2902.205322265625 2056.112060546875],[2464.361328125 1860.5546875 2689.131591796875 1926.7484130859375],0.2604881227016449,AP05JEO,0.5983311439523963
191,1585,[2229.97900390625 1483.7244873046875 2908.411376953125 2062.007080078125],[2464.977783203125 1870.134765625 2683.243408203125 1940.344970703125],0.26554450392723083,AP05JEO,0.46647967828031767
192,1585,[2224.38623046875 1492.9642333984375 2912.993896484375 2071.205078125],[2469.591064453125 1877.1953125 2686.345703125 1949.7523193359375],0.5206505656242371,AP05JEO,0.6652139498646711
193,1585,[2218.60693359375 1495.86328125 2921.934814453125 2078.02099609375],[2470.060302734375 1880.3798828125 2688.501708984375 1952.9569091796875],0.4755838215351105,AP05JEO,0.45593457940693355
194,1585,[2224.572509765625 1502.455078125 2926.7275390625 2088.365478515625],[2474.269287109375 1898.1558837890625 2685.0810546875 1959.669189453125],0.5672295093536377,AP05JEO,0.8802359384652715
195,1585,[2226.50537109375 1515.0257568359375 2929.51025390625 2097.1787109375],[2479.299072265625 1906.7545166015625 2702.793701171875 1972.7552490234375],0.6667181849479675,AP05JEQ,0.3787225183706201
196,1585,[2226.37939453125 1521.904296875 2929.45947265625 2098.8857421875],[2479.542724609375 1911.9158935546875 2697.80224609375 1973.7239990234375],0.5163375735282898,AP05JEO,0.398323248484801
197,1585,[2225.548583984375 1526.923828125 2928.920654296875 2104.272705078125],[2478.024658203125 1919.203125 2692.155029296875 1980.20703125],0.18259504437446594,P05JEQ,0.4609057856903116
198,1585,[2224.7607421875 1534.8524169921875 2936.3798828125 2115.240478515625],[2484.96728515625 1923.7088623046875 2714.52587890625 1991.2783203125],0.4536897838115692,AP05JEQ,0.5694284908599228
199,1585,[2228.759521484375 1538.870849609375 2936.1396484375 2124.530029296875],[2483.239013671875 1925.4990234375 2728.51904296875 2019.088134765625],0.18265984952449799,AP05JEQ,0.5620058496366745
200,1585,[2231.524169921875 1545.5267333984375 2940.644287109375 2129.608642578125],[2487.164794921875 1944.829345703125 2706.19140625 2010.0113525390625],0.3486488163471222,AP05JEO,0.7591105078899343
201,1585,[2230.846923828125 1553.436279296875 2948.007568359375 2135.777099609375],[2497.533203125 1955.5794677734375 2727.975341796875 2017.1627197265625],0.21447500586509705,AP05JEO,0.8277683913183155
202,1585,[2232.661865234375 1556.6485595703125 2951.556396484375 2137.062744140625],[2488.531005859375 1955.382080078125 2733.19775390625 2025.1937255859375],0.5763775706291199,GP05JEO,0.35333064904420125
203,1585,[2237.742919921875 1562.06396484375 2957.262451171875 2139.16748046875],[2485.669677734375 1961.328125 2723.243896484375 2031.6539306640625],0.22951474785804749,AP05JEQ,0.3829909365492502
204,1585,[2241.456787109375 1571.361572265625 2960.04443359375 2140.2421875],[2495.789306640625 1971.2723388671875 2733.268310546875 2039.844970703125],0.23348869383335114,AP05JEO,0.4506998844751681
205,1585,[2241.568115234375 1575.7808837890625 2956.582275390625 2144.11279296875],[2494.634033203125 1977.2125244140625 2736.181640625 2046.1031494140625],0.48328378796577454,AP05JEO,0.8498381367833624
206,1585,[2240.974853515625 1581.7967529296875 2952.962890625 2147.31689453125],[2509.798583984375 1991.087158203125 2731.169677734375 2056.32080078125],0.21739250421524048,AP05JEO,0.5587636653635517
207,1585,[2235.701171875 1591.0538330078125 2950.330322265625 2146.885986328125],[2513.442138671875 2003.464111328125 2729.384521484375 2065.66650390625],0.2179681658744812,AP05JEQ,0.9378434512219649
208,1585,[2247.074462890625 1598.2969970703125 2951.326416015625 2145.361328125],[2508.734375 2003.8016357421875 2742.047607421875 2075.197021484375],0.6024949550628662,AP05JEQ,0.9060085241080452
209,1585,[2249.392333984375 1605.45361328125 2965.3187255859375 2144.503662109375],[2515.763427734375 2012.2701416015625 2743.9246826171875 2082.87451171875],0,0,0
210,1585,[2251.710205078125 1612.6102294921875 2979.31103515625 2143.64599609375],[2522.79248046875 2020.7386474609375 2745.8017578125 2090.552001953125],0.14813044667243958,AP05JEO,0.890287408052256
