frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
62,1190,[925.2605590820312 653.3394165039062 1147.489990234375 832.9661865234375],[1002.6884765625 768.5965576171875 1075.7779541015625 793.677978515625],0.5718502402305603,B906SKI,0.4878965684093178
63,1190,[926.0211791992188 653.104248046875 1148.5711669921875 832.6303100585938],[1002.982177734375 768.5452880859375 1075.615966796875 793.4066162109375],0.5797169208526611,B900GSK,0.7637752072932693
64,1190,[927.5291137695312 652.0556945800781 1148.4263916015625 830.8927001953125],[1004.1251220703125 768.4425659179688 1076.7005615234375 793.2099609375],0,0,0
65,1190,[929.0370483398438 651.0071411132812 1148.2816162109375 829.1550903320312],[1005.26806640625 768.33984375 1077.78515625 793.0133056640625],0.15323831140995026,B90GSK,0.5655342556717691
66,1190,[929.9030151367188 649.8240966796875 1149.424560546875 827.1829833984375],[1006.4489135742188 767.9635620117188 1078.3466796875 792.7391967773438],0.12655296921730042,B900GSK,0.49193840608250045
67,1190,[933.7199096679688 649.9011840820312 1149.5439453125 824.5004272460938],[1004.8859252929688 765.2367553710938 1075.8343505859375 785.901123046875],0.4876148998737335,B900GSK,0.532242636301302
68,1190,[936.0383605957031 648.6495666503906 1149.2091064453125 821.8639526367188],[1005.7710571289062 762.18017578125 1077.6301879882812 783.5816345214844],0,0,0
69,1190,[938.3568115234375 647.39794921875 1148.874267578125 819.2274780273438],[1006.6561889648438 759.1235961914062 1079.426025390625 781.2621459960938],0.5371398329734802,B90GSK,0.8196055338917365
70,1190,[940.7822875976562 646.665771484375 1148.9708251953125 818.7507934570312],[1009.2269897460938 758.86669921875 1080.86181640625 781.0543212890625],0.5368137359619141,B90GSK,0.5200665843517798
71,1190,[941.8407185872395 646.9169921875 1149.0009358723958 817.3355305989583],[1010.8781127929688 756.3784993489583 1079.6197916666665 777.9523518880208],0,0,0
72,1190,[942.8991495768229 647.168212890625 1149.031046549479 815.9202677408854],[1012.5292358398438 753.8902994791666 1078.3777669270833 774.8503824869791],0,0,0
73,1190,[943.9575805664062 647.41943359375 1149.0611572265625 814.5050048828125],[1014.1803588867188 751.402099609375 1077.1357421875 771.7484130859375],0.5830024480819702,B900GSK,0.3620937522137259
74,1190,[944.1394653320312 644.6100463867188 1149.10498046875 812.1783447265625],[1015.3192749023438 743.7460327148438 1079.119384765625 767.5735473632812],0.3462262451648712,B906SKI,0.457446017095492
75,1190,[946.561767578125 644.19384765625 1148.7349853515625 810.673095703125],[1016.4520263671875 747.081298828125 1081.451171875 769.52783203125],0.6897404789924622,BI90GSK,0.8042937882584726
76,1190,[947.5879516601562 644.4720153808594 1148.4419555664062 810.0423583984375],[1017.6631469726562 746.9196166992188 1080.3218383789062 769.0203552246094],0,0,0
77,1190,[948.6141357421875 644.7501831054688 1148.14892578125 809.41162109375],[1018.874267578125 746.7579345703125 1079.1925048828125 768.5128784179688],0.587343692779541,B900GSK,0.688760890856964
78,1190,[948.9865112304688 644.4898071289062 1148.599609375 809.3667602539062],[1014.7399291992188 746.4553527832031 1081.4842529296875 768.8527221679688],0,0,0
79,1190,[949.35888671875 644.2294311523438 1149.05029296875 809.3218994140625],[1010.6055908203125 746.1527709960938 1083.7760009765625 769.1925659179688],0.19098308682441711,B906SKI,0.6834155414169477
80,1190,[950.905517578125 642.2872314453125 1149.6951904296875 807.900390625],[1017.8636474609375 748.52490234375 1083.021484375 768.7705078125],0.4153490960597992,BI96SKI,0.6060067229836873
